fuel,coolant,year,watt
34264.53,3.59,10.00,14628.45
18449.67,3.28,2.00,39518.70
20640.12,4.21,4.00,23127.40
2339.85,4.89,6.00,1850.10
10814.74,4.73,8.00,6967.40
24402.01,3.56,5.00,21824.99
12124.57,4.23,4.00,14502.68
1423.58,3.32,9.00,777.56
6982.03,4.64,6.00,5744.97
19322.55,4.83,9.00,10299.62
23268.43,4.49,8.00,13810.23
24065.24,4.12,2.00,58019.43
19508.57,4.51,2.00,47548.73
8037.16,5.07,9.00,4460.94
10975.06,3.14,10.00,5426.33
12142.82,4.36,5.00,12284.93
15657.12,3.30,2.00,36296.51
5555.84,3.38,9.00,3321.47
7333.01,4.89,1.00,32384.55
17989.76,2.95,4.00,21153.17
21368.82,3.14,1.00,96571.25
727.58,3.60,5.00,745.79
8900.86,3.85,5.00,9457.06
31909.00,3.85,5.00,33769.96
25465.37,3.87,4.00,31948.02
21571.04,3.18,7.00,16325.15
14805.38,4.50,2.00,34510.69
10969.57,4.52,3.00,18413.68
19288.97,4.23,9.00,10612.10
9847.88,4.14,6.00,8617.92
23792.76,4.17,10.00,12220.32
30355.73,2.98,2.00,76531.71
13795.43,3.09,2.00,33814.23
37380.99,3.66,6.00,32265.55
7339.21,3.31,7.00,5208.45
30894.54,4.61,9.00,18675.60
19581.29,4.91,9.00,11323.82
15127.91,4.78,2.00,35658.07
8612.51,3.93,5.00,8442.16
3268.63,4.56,10.00,1526.65
7384.15,3.80,10.00,3547.47
11009.73,3.35,10.00,5463.36
15862.23,4.63,6.00,12600.14
10251.72,4.17,3.00,16652.94
3725.59,4.83,4.00,4289.87
18558.20,3.50,8.00,12127.14
14166.60,3.48,1.00,53704.14
13382.22,3.61,5.00,11942.62
1446.90,3.78,8.00,883.58
3878.95,3.21,7.00,2631.23
5621.47,3.88,9.00,3021.20
9026.49,3.41,5.00,7845.01
25564.90,4.69,6.00,17395.45
29579.69,3.66,7.00,18620.25
34027.97,4.87,6.00,21914.23
19976.61,4.07,9.00,9324.93
30206.75,4.56,10.00,12626.36
29003.07,4.25,3.00,38750.55
28924.35,4.31,5.00,23226.96
20431.96,4.74,7.00,11360.77
12272.48,4.63,2.00,24181.70
28662.67,4.69,6.00,19106.02
11490.96,4.31,5.00,8411.68
1395.26,3.09,6.00,873.46
34232.91,3.21,2.00,63094.43
28548.04,4.06,4.00,28617.79
23380.39,3.03,11.00,8463.35
18900.46,5.10,5.00,14020.22
19271.05,3.73,9.00,8265.12
15193.91,4.27,8.00,7219.34
12619.88,4.43,10.00,5300.40
6705.16,3.55,10.00,2352.74
18082.16,4.66,3.00,23072.55
11480.31,4.79,3.00,12618.93
10128.69,5.07,9.00,4289.58
3964.42,3.94,10.00,1481.59
24474.67,3.63,4.00,19404.51
21904.13,3.16,10.00,8084.98
7365.43,4.89,10.00,2683.61
22871.42,4.41,7.00,12168.64
9818.00,4.07,4.00,9111.76
11650.74,4.16,4.00,10768.72
11474.48,4.78,10.00,4017.16
1661.13,3.93,7.00,932.87
3918.02,4.14,4.00,3776.47
17853.65,3.30,5.00,13270.46
9133.45,4.05,7.00,5117.34
20887.55,3.66,9.00,9264.05
24583.23,3.54,8.00,12989.79
4141.76,3.45,8.00,1823.79
36777.54,2.96,7.00,24107.04
29030.77,3.89,2.00,52774.17
21308.66,4.84,3.00,29890.17
15406.94,4.37,10.00,6400.98
9674.01,4.77,6.00,6699.48
9936.14,3.16,5.00,8927.64
22030.23,3.30,5.00,18794.64
6971.34,3.12,3.00,9977.53
6423.01,4.52,4.00,6754.48
30624.61,3.36,10.00,14579.40
7833.93,4.72,1.00,29393.59
15708.78,3.01,7.00,9903.88
12113.42,4.28,5.00,10251.14
19365.19,4.63,8.00,10781.49
30628.18,3.52,7.00,20532.88
9640.94,4.87,2.00,19636.87
1467.19,3.60,1.00,5770.62
13557.23,4.22,7.00,9019.18
20705.46,4.03,2.00,45359.02
5222.42,4.83,1.00,21556.60
2243.71,4.13,5.00,2198.78
24730.49,3.56,8.00,16318.50
10984.65,3.79,5.00,10705.16
8170.95,3.41,2.00,18729.69
19809.12,2.98,5.00,18870.06
17736.32,3.34,4.00,23231.66
16218.37,3.87,1.00,68430.37
13386.58,3.56,2.00,31853.21
35307.24,4.57,7.00,26343.08
25070.19,3.61,9.00,13938.86
17454.13,4.94,4.00,20953.28
34087.06,3.34,2.00,85702.63
16263.07,3.82,9.00,8657.75
26820.66,3.78,4.00,33416.83
29463.65,4.26,7.00,22208.82
19970.69,3.43,10.00,10919.39
9776.97,3.54,8.00,6195.63
5012.71,4.91,7.00,3725.28
24079.09,5.03,4.00,30205.46
12532.64,3.41,8.00,7684.01
16112.43,3.99,1.00,65849.88
20564.54,4.78,9.00,11822.96
17362.45,3.38,2.00,39774.65
25475.22,4.78,10.00,12966.60
6794.12,4.79,5.00,6618.38
5060.94,3.60,4.00,6363.32
1649.43,3.53,11.00,776.53
30877.19,4.74,10.00,15679.77
24938.95,5.03,2.00,56366.58
7531.94,3.50,2.00,17555.75
13894.70,3.99,7.00,10074.06
2206.07,3.93,9.00,1266.56
19184.70,4.72,4.00,20901.96
26200.62,4.69,7.00,17924.42
33230.69,4.07,6.00,25628.43
7068.95,4.55,11.00,2878.16
26768.82,4.77,8.00,15886.98
16793.71,3.26,1.00,63066.87
15880.72,3.47,3.00,21476.09
29397.45,3.95,7.00,20461.17
3772.45,4.66,3.00,5178.37
8696.98,4.13,9.00,4324.80
9078.48,3.86,5.00,7524.27
30019.08,4.42,3.00,39757.55
5429.01,4.02,11.00,2090.22
413.64,3.55,2.00,730.30
28439.03,3.88,5.00,22682.03
2067.06,3.93,6.00,1492.47
35621.83,4.03,11.00,14067.49
23950.08,3.20,10.00,8636.17
18628.11,2.95,10.00,7064.62
22872.98,4.43,7.00,12878.68
12083.93,4.70,5.00,9203.67
13309.72,3.37,5.00,10080.77
14255.24,4.54,10.00,5468.16
28988.77,4.74,10.00,9762.82
25816.01,3.40,3.00,29367.94
9471.83,5.02,7.00,4878.24
19603.87,4.02,1.00,59181.04
1406.13,3.30,3.00,1639.20
22706.38,4.48,5.00,16864.35
17432.79,3.41,6.00,10901.11
1336.23,3.80,11.00,457.22
13070.63,3.60,10.00,4696.11
12056.69,4.72,8.00,5610.65
11315.11,3.58,10.00,4258.72
13966.33,3.52,10.00,5076.76
9113.20,3.63,4.00,8144.47
1222.12,3.29,9.00,516.83
19890.79,4.30,2.00,32510.46
21819.39,3.37,7.00,11861.03
20348.73,3.52,3.00,25950.08
23603.53,3.05,8.00,11533.59
15016.40,3.45,8.00,7829.08
4157.90,4.42,8.00,2177.91
10677.05,4.11,8.00,5336.45
6020.89,3.09,2.00,10981.20
31316.11,4.01,3.00,39402.63
8061.08,4.13,2.00,13623.51
27351.96,4.66,2.00,50535.86
12163.86,3.48,9.00,5131.17
16738.85,3.26,5.00,13130.27
20389.52,4.64,6.00,13990.92
8081.73,3.76,8.00,4198.01
7505.14,2.95,8.00,3990.22
22371.58,3.27,1.00,80041.63
26975.44,3.57,4.00,27217.71
23575.80,4.18,10.00,9484.62
9728.07,4.71,11.00,3971.24
34974.33,4.11,9.00,17618.79
15974.58,3.84,6.00,12837.79
5111.79,4.58,2.00,10711.39
10597.90,3.67,2.00,21950.36
13856.80,3.28,2.00,29949.09
3501.89,4.60,9.00,1834.55
20870.19,4.25,2.00,47770.55
17841.41,4.04,6.00,14878.63
1956.97,4.28,2.00,4696.39
2714.13,4.50,6.00,2080.99
11592.84,4.50,1.00,44512.14
7135.32,4.09,4.00,8989.41
10056.61,3.51,2.00,25169.38
18282.22,3.81,3.00,29220.85
6952.05,3.31,8.00,4622.71
15123.13,3.51,6.00,12939.74
21010.24,4.43,4.00,27778.38
3085.52,4.32,2.00,7615.46
24377.13,3.69,8.00,15374.02
7299.27,4.05,10.00,3810.17
17891.52,3.28,5.00,19271.32
12961.05,4.61,10.00,7009.74
2388.98,4.37,9.00,1474.71
1664.32,3.25,6.00,1496.43
816.32,4.18,5.00,811.41
15424.62,3.70,3.00,25411.95
20858.44,4.14,10.00,11125.77
23758.66,4.82,10.00,12638.73
7237.30,3.13,3.00,11489.17
5666.05,4.61,1.00,24412.49
21867.29,4.24,10.00,11769.52
18540.16,3.84,3.00,32212.53
10082.80,3.47,2.00,24300.69
20050.88,3.82,2.00,45389.82
5193.45,4.33,5.00,5455.92
772.89,3.65,3.00,1336.70
19555.16,3.10,2.00,43333.00
24943.42,3.66,3.00,38903.89
1639.61,4.98,9.00,924.91
16487.65,4.75,2.00,38141.94
12945.01,3.94,3.00,21291.87
33151.09,3.28,2.00,64522.97
20553.16,3.54,3.00,32733.33
26516.38,3.74,2.00,62964.31
16563.52,4.85,10.00,8257.49
19507.55,4.45,7.00,13011.50
6998.42,4.43,4.00,7530.86
20166.38,4.56,7.00,12388.75
7536.95,4.28,1.00,28568.66
12456.26,4.65,5.00,10890.25
21349.72,3.39,4.00,24673.52
449.24,4.33,3.00,640.72
6748.27,4.81,3.00,9383.83
4846.14,3.67,9.00,2464.36
23487.55,4.55,8.00,12080.28
14489.20,4.65,2.00,28544.55
21862.17,3.29,4.00,21741.54
4614.57,4.61,10.00,1804.28
10200.69,4.32,10.00,4390.24
11829.25,4.66,4.00,12222.58
4785.19,4.63,7.00,2567.92
2163.64,4.99,9.00,994.07
25280.72,4.23,10.00,9384.71
1667.83,4.12,7.00,958.63
20556.26,4.51,3.00,25395.49
20286.13,3.33,1.00,67479.06
34667.24,4.38,7.00,18832.13
24485.00,3.16,8.00,10521.40
12010.74,3.94,6.00,7659.77
19331.32,4.59,3.00,24646.49
27059.18,4.61,2.00,44036.85
24902.70,4.56,10.00,8932.83
9125.18,3.07,1.00,28944.94
8628.22,4.35,10.00,3299.06
4257.09,3.20,2.00,7157.80
15911.83,4.72,10.00,6305.04
12888.64,4.57,7.00,7008.80
27381.98,4.20,11.00,9067.36
3877.51,3.27,2.00,6412.04
31891.94,3.27,10.00,12852.32
23866.00,3.91,4.00,22003.67
6434.14,3.50,10.00,2673.06
18156.50,3.01,10.00,6640.36
20558.06,3.57,7.00,11518.26
25494.10,4.33,5.00,19743.76
8744.06,3.24,5.00,7587.93
21081.69,3.17,5.00,17387.72
31635.10,4.53,5.00,24549.93
20311.53,3.22,7.00,11410.28
28354.82,3.15,5.00,22765.78
24072.25,4.54,3.00,29638.52
38257.65,3.33,2.00,76049.71
20098.89,4.06,7.00,11615.03
17211.58,4.75,3.00,23262.84
3097.86,2.90,5.00,2685.71
3115.84,3.32,8.00,1786.28
20804.13,3.26,9.00,10395.23
11671.45,4.43,5.00,9926.86
3274.63,3.77,3.00,4890.14
13240.07,3.27,4.00,15218.48
7302.94,3.89,2.00,17088.02
14423.02,4.62,4.00,17006.01
27367.91,3.81,5.00,27495.49
6499.04,3.19,6.00,5140.47
21085.18,3.52,8.00,12913.21
16685.50,3.50,10.00,8170.56
11939.12,4.72,6.00,9956.75
10655.14,5.02,4.00,12984.23
389.91,4.37,3.00,668.91
20995.81,3.60,10.00,10650.00
17388.17,3.42,3.00,27790.90
13172.17,3.25,11.00,6179.74
5892.33,3.39,11.00,2755.20
17156.15,3.98,2.00,39394.39
10723.20,3.00,6.00,8745.14
986.11,3.38,10.00,520.23
4000.93,3.02,5.00,4349.83
4022.56,4.29,4.00,5034.92
15957.02,4.99,8.00,10933.79
14607.69,3.86,10.00,7659.09
26765.80,3.94,7.00,21129.25
22545.62,4.22,10.00,12163.75
